Rochester,41.0,12.0,47.0
Manhattan,39.705882352941174,5.882352941176471,54.411764705882355
Buffalo,31.25,16.25,52.5
Syracuse,47.05882352941177,11.764705882352942,41.1764705882353
Albany,26.865671641791046,5.970149253731344,67.16417910447761
Hempstead,41.46341463414634,13.414634146341463,45.1219512195122
Yonkers,30.136986301369863,16.438356164383563,53.42465753424658
Brentwood,30.555555555555557,19.444444444444443,50.0
Schenectady,42.0,9.0,49.0
Utica,42.30769230769231,12.820512820512821,44.87179487179487
Niagara Falls,31.08108108108108,16.216216216216218,52.7027027027027